id,best_version,times_written,variation_count,rating,sounds_like,maturity_rating,length_tag,subject_tags,style_tags,set_usage,all_variations
J0529,You are training ai to clone yourself. So what? I can't get a girl to let me clone myself.,1,1,68,Mitch Hedberg,PG-ish,short,technology,personal,,You are training ai to clone yourself. So what? I can't get a girl to let me clone myself.
J0530,You like UCF Yeh dude. You ever seen street beefs? Street beefs Pregnant lady against a preteen boy.,1,1,68,Mitch Hedberg,PG-ish,short,technology,observational,,You like UCF Yeh dude. You ever seen street beefs? Street beefs Pregnant lady against a preteen boy.
J0531,"live forever with meningitis. Symptoms include headache, stiff neck, and becoming immortal.",1,1,68,Bill Burr,PG-ish,short,misc/observational,observational,,"live forever with meningitis. Symptoms include headache, stiff neck, and becoming immortal."
J0532,"Drinking pee act out, hands and tongue flapping Helen Keller was a socialist Severely disabled woman born in the South in the late 1800s wants everyone to be treated equally that's CRAZY.",1,1,68,Mitch Hedberg,PG-ish,medium,technology,observational,,"Drinking pee act out, hands and tongue flapping Helen Keller was a socialist Severely disabled woman born in the South in the late 1800s wants everyone to be treated equally that's CRAZY."
J0533,"Gay bomb Gay gun, cunt cunt cunt cunt Slayzer beam Wish they made a gun that made me attracted to ugly women. I'll finally be able to date a girl who's nice.",1,1,68,Bill Burr,PG-ish,medium,misc/observational,personal,,"Gay bomb Gay gun, cunt cunt cunt cunt Slayzer beam Wish they made a gun that made me attracted to ugly women. I'll finally be able to date a girl who's nice."
J0534,"Having a rough day Can I see dem tiddies? Not objectifying you Clearly asking for your consent If you decline I will absolutely respect your boundaries and apologize for bothering you, like a gentleman.",1,1,68,Mitch Hedberg,PG-ish,medium,body/medical,personal,,"Having a rough day Can I see dem tiddies? Not objectifying you Clearly asking for your consent If you decline I will absolutely respect your boundaries and apologize for bothering you, like a gentleman."
J0535,"Olympic ceremony 2 kids in the front while a dancers' balls hanging out in the back. Then I looked closer and realized they weren't kids it was John Datoy and Paula Kosiensky, oh thats ok.",1,1,68,John Mulaney,PG-ish,medium,family,personal,Garage sale vintage/ Third Coast,"Olympic ceremony 2 kids in the front while a dancers' balls hanging out in the back. Then I looked closer and realized they weren't kids it was John Datoy and Paula Kosiensky, oh thats ok."
J0536,You know who still opens the phone app on their phone? People who still pay for cable My inbox is dry as hell to except for the golddiggers DMing my linked in.,1,1,68,Norm Macdonald,PG-13,medium,dating/sex | religion/spiritual | technology,personal,,You know who still opens the phone app on their phone? People who still pay for cable My inbox is dry as hell to except for the golddiggers DMing my linked in.
J0537,Ozempic birth control All the Cream pies None of the consequences.,4,3,67,Mitch Hedberg,PG-ish,short,misc/observational,observational,Next set,"Ozempic birth control All the Cream pies None of the consequences. | All the creampies, none of the consequences. | Ozempic birth control."
J0538,Anyone can do anything.,7,3,66,Mitch Hedberg,PG-ish,short,misc/observational | family | true crime/dark | work/money | technology,observational | dark,Cafe coco 9/30/22 | Green Light 10/2/22 | Jokers Abbey 10/1/22 | Mouthhole | PB Backyard 10/4/22 | Third coast 10/3/22,Anyone can do anything. | Anyone can do anything Anyone can be president. Anyone can pay child support. And everyone agrees on abortion. The good guys won. The 32nd amendment to the constitution. Abortion is murder... it's considered archaic along with circumcision and breast implants. We let rich people buy people parents can't afford or don't want to keep on an annual subscription plan you can cancel at any time. Like Netflix. | Anyone can be anyone.
J0539,Slut shaming syphilis.,6,3,66,Mitch Hedberg,PG-ish,short,misc/observational | dating/sex,observational | relationship | personal,Good People Lounge 30 minutes | Shelbyville 15 minutes | Third Coast,Slut shaming syphilis. | Slut shaming syphilis If we're not supposed to slut shame why do y'all shame me for loving sluts. Cuz they might die of syphilis? Nothing to be ashamed of. That's what took out Ben Franklin. A noble end. Want a girl who knows what she wants. And what she wants is to have so much sex that we both forget our childhoods. | Slut Lover shaming.
J0540,Stolen Hoodies.,6,1,66,Mitch Hedberg,PG-ish,short,misc/observational,observational,Wiseguys 1/25/23 (3 mins),Stolen Hoodies.
J0541,John Wayne probably gaycy.,5,3,66,Mitch Hedberg,PG-ish,short,misc/observational,observational,5 spot Halloween 10/16/22 | Comedy Caravan 10/19/22 | Lucky Duck 9/22/22 | Mouthhole,John Wayne probably gaycy. | John Wayne probably Gacy. | John Wayne maybe gaycy.
J0542,Peanut allergy snickers spit.,5,3,66,Mitch Hedberg,PG-ish,short,misc/observational,observational,,Peanut allergy snickers spit. | Peanut allergy kink. | Snickers spit.
J0543,Love saying the N word.,4,3,66,Demetri Martin,PG-ish,short,dating/sex,observational,,Love saying the N word. | Say the N word. | Saying the N word.
J0544,Aching back Sunday.,11,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,5 spot Halloween 10/16/22 | Comedy Caravan 10/19/22 | Lucky Duck 9/22/22 | Mouthhole | Nashville All Stars 8 min (CLEAN),Aching back Sunday.
J0545,Step mom porn divorced dad will find love again someday lesbian latinas.,11,2,65,Maria Bamford,R / club material,short,dating/sex | family | technology,observational,Good People set (15 min) | Lowbar Feb 26 | Plane Jane set (10 min) | Third Coast 4 min,Step mom porn divorced dad will find love again someday lesbian latinas. | Step mom porn.
J0546,Halvsies on a vasectomy.,8,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,Cup of Kava set | Dive Motel Birthday Show headlining set. | Killjoy Show | Perfect Timing may 18,Halvsies on a vasectomy.
J0547,SLC hate crime Racially motivated mass shooting. A white guy went into a Mormon church and killed everyone who recently got a tan.#Jokes.,6,2,65,Anthony Jeselnik,R / club material,short,true crime/dark | religion/spiritual,dark,Cafe coco 9/30/22 | Green Light 10/2/22 | Jokers Abbey 10/1/22 | Mouthhole | PB Backyard 10/4/22,SLC hate crime Racially motivated mass shooting. A white guy went into a Mormon church and killed everyone who recently got a tan.#Jokes. | SLC hate crime.
J0548,Hate languages Words of affirmation=verbal abuse Quality Time=Cold Shoulder Physical Touch=Physical violence Gift Giving=Stealing Acts of Service=passive aggression.,3,3,65,George Carlin,PG-13,short,misc/observational,observational,Childrens show,Hate languages Words of affirmation=verbal abuse Quality Time=Cold Shoulder Physical Touch=Physical violence Gift Giving=Stealing Acts of Service=passive aggression. | Physical abuse. | Hate languages.
J0549,My ex was the worst and I loved her for it.,3,3,65,Mitch Hedberg,PG-ish,short,dating/sex | true crime/dark | technology,personal | dark,Dirty Mic/Lab Rat Sep 4 2024,"My ex was the worst and I loved her for it. | Misheard Love Languages Acts of selective service Feel loved when I get drafted into a war. Acts of Surplus Be extra. Like extra extra. All the time. Acts of Circus Dress like a clown cooked her cotton candy. or juggle. Cook some cotton candy. If you really love me you'll do the trapeze act without a net. Physical Touché When you touch me the same way I touched you but your way is more... impressive. Fiscal Touch I feel appreciated when you press the send button on Cashapp Equality Time When we spend time with people from diverse backgrounds. Quality Crime Let's commit a felony Words of Acclimation I don't like what you're saying right now, but I'll get used to it. Birds of Affirmation Train some parakeets to tell me I'm pretty. Gif Giving Send memes. | I loved her."
J0550,What's your least favorite type of ice?,3,3,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,Imported laughs sep 17 2022 BG KY | Lakeside 9/20/2022,What's your least favorite type of ice? | Lease favorite ice. | Favorite kind of Ice.
J0551,Bidet wash butt in the sink.,2,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,Cup of Kava (10 min),Bidet wash butt in the sink.
J0552,Barbie 2: Dark of the Moon Barbie and the decepticons steal the tesaract from G.I. Joe and Stretch Armstrong.,2,2,65,Anthony Jeselnik,PG-ish,short,misc/observational | dating/sex | drugs/sobriety | true crime/dark | religion/spiritual | pop culture | work/money | body/medical,observational | dark | relationship | absurd | personal,,Barbie 2: Dark of the Moon Barbie and the decepticons steal the tesaract from G.I. Joe and Stretch Armstrong. | Greenlight Barbie 2: Dark of the Moon Barbie and the decepticons steal the tesaract from Stretch Armstrong and G.I. Joe. Chick fil Leviticus -halfway house for conversion therapy-job placement for aged out alter boys. Ointment for Enlarged G spots. Plan Z birth control. A pill you give to newborns that turns them into the walking dead. Lied about my age. Had to pretend I don't know the band Godsmack. Bad taste in music skips a generation. 90s sloppy top Texas castle law Period Sex in Texas Bounce castle law.
J0553,I took an AIDS test to make sure it was pure. People are putting fentanyl in AIDS now. Whats the world coming to.,2,2,65,Mitch Hedberg,PG-ish,short,technology,personal | observational,Next set,I took an AIDS test to make sure it was pure. People are putting fentanyl in AIDS now. Whats the world coming to. | AIDS test.
J0554,Circa survivors.,2,2,65,Mitch Hedberg,PG-ish,short,pop culture | misc/observational,observational,,Circa survivors. | Rebar at the Dam 2/19/22 Tiger King Tattoo Shop Circa survivors Super Jeffrey Dahmer Supergirl Hyper hydrosis reverse xray vision Picture Day Swallowed whole Blow through a straw Pokemon please stay Stolen hoodie Spermologist Guages Pluto astrojizzicist All intensive purposes.
J0555,"""Jesus on the Cross"" as a way to say something is awesome.",1,1,65,Mitch Hedberg,PG-ish,short,religion/spiritual,observational,,"""Jesus on the Cross"" as a way to say something is awesome."
J0556,1634 makiki st apt 701 honolulu HI 96822.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,personal,,1634 makiki st apt 701 honolulu HI 96822.
J0557,440 3rd Ave n Mon -fri 8am-1130am Take report number 2025-0456156.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,personal,,440 3rd Ave n Mon -fri 8am-1130am Take report number 2025-0456156.
J0558,5 min warning / grab your sack (weed) and grab a seat.,1,1,65,Mitch Hedberg,R / club material,short,drugs/sobriety,observational,,5 min warning / grab your sack (weed) and grab a seat.
J0559,6 3 9 guy 6 inches 6 feet 6 figures Im 3 6 9 I'll let you figure out which one is which.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,6 3 9 guy 6 inches 6 feet 6 figures Im 3 6 9 I'll let you figure out which one is which.
J0560,6 down 8 across 5.5 across 6 down 8 across 11ft 960 682 8ekC77Xz*W*ldhcH.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,6 down 8 across 5.5 across 6 down 8 across 11ft 960 682 8ekC77Xz*W*ldhcH.
J0561,99% of white guys with face tattoos are mad at their moms.,1,1,65,Maria Bamford,PG-ish,short,family,observational,,99% of white guys with face tattoos are mad at their moms.
J0562,A bunch of rich people and world leaders have Peter Pan syndrome.,1,1,65,Mitch Hedberg,PG-ish,short,work/money,observational,,A bunch of rich people and world leaders have Peter Pan syndrome.
J0563,Abortion jokes aren't funny. I'll get rid of it. I will I'll cut it out as soon as Im in a state where that's legal.,1,1,65,Mitch Hedberg,PG-ish,medium,misc/observational,personal,Comedy Caravan 10/19/22,Abortion jokes aren't funny. I'll get rid of it. I will I'll cut it out as soon as Im in a state where that's legal.
J0564,According to quantum physics an alternate timeline exists where hot dogs are called cool cats.,1,1,65,Steven Wright,PG-ish,short,dating/sex,observational,,According to quantum physics an alternate timeline exists where hot dogs are called cool cats.
J0565,Addicted to gameboys Smoking an ipad Vapes with sim cards Burner phone.,1,1,65,Mitch Hedberg,PG-ish,short,technology,observational,,Addicted to gameboys Smoking an ipad Vapes with sim cards Burner phone.
J0566,Advanced Ai So realistic it screamed I didn't ask for this life!,1,1,65,Mitch Hedberg,PG-ish,short,technology,personal,,Advanced Ai So realistic it screamed I didn't ask for this life!
J0567,After Peace Everyone will get bored. Virtual chaos contained within a peaceful reality.,1,1,65,Mitch Hedberg,PG-ish,short,technology,observational,,After Peace Everyone will get bored. Virtual chaos contained within a peaceful reality.
J0568,Ahs Automatic honking system in new cars Explore the comparison between real safety features and reasons we honk at people in our cars.,1,1,65,Mitch Hedberg,PG-ish,short,dating/sex,observational,,Ahs Automatic honking system in new cars Explore the comparison between real safety features and reasons we honk at people in our cars.
J0569,Ai based program that shows you what a relationship with a person would be like by analyzing a 10 second video clip of them reciting numbers and random key words.,1,1,65,George Carlin,PG-ish,medium,technology,personal,,Ai based program that shows you what a relationship with a person would be like by analyzing a 10 second video clip of them reciting numbers and random key words.
J0570,Ai video channels Mario Teaches StereoTyping Optimistic nihilism Daily dao videos Recite passage Provide response Ai generated peaceful images and videos Rizz videos.,1,1,65,Mitch Hedberg,PG-13,short,technology,personal,,Ai video channels Mario Teaches StereoTyping Optimistic nihilism Daily dao videos Recite passage Provide response Ai generated peaceful images and videos Rizz videos.
J0571,Airports are the best for people watching. Every type of person goes through airports Well except poor people.,1,1,65,Mitch Hedberg,PG-ish,short,dating/sex | work/money | technology,observational,,Airports are the best for people watching. Every type of person goes through airports Well except poor people.
J0572,All these anti ai articles written by chatGPT.,1,1,65,Mitch Hedberg,PG-ish,short,technology,personal,,All these anti ai articles written by chatGPT.
J0573,American women treat men with such inhumanity you would think we laid claim to their holy land.,1,1,65,Bill Burr,PG-ish,short,technology,observational,,American women treat men with such inhumanity you would think we laid claim to their holy land.
J0574,And..... My mom smoked through her entire pregnancy... That's right. My mother... smoked... Crack through her entire pregnancy.,1,1,65,Maria Bamford,PG-ish,short,family,personal,,And..... My mom smoked through her entire pregnancy... That's right. My mother... smoked... Crack through her entire pregnancy.
J0575,Angrily Google translating Construction workers stealing our water and electricity. They didn't speak English so I had to angrily Google translate everything I was saying.,1,1,65,Bill Burr,PG-ish,medium,work/money,personal,,Angrily Google translating Construction workers stealing our water and electricity. They didn't speak English so I had to angrily Google translate everything I was saying.
J0576,Anyone can buy a stop sign Legally binding If they don't stop they get arrested.,1,1,65,Demetri Martin,PG-ish,short,misc/observational,observational,,Anyone can buy a stop sign Legally binding If they don't stop they get arrested.
J0577,Art is labeled by gender identity and sexuality with signatures. No last names.,1,1,65,Nikki Glaser,R / club material,short,dating/sex,relationship,,Art is labeled by gender identity and sexuality with signatures. No last names.
J0578,At the end thank everyone for sticking around and offer a %10 discount on any purchase for staying until the end.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,At the end thank everyone for sticking around and offer a %10 discount on any purchase for staying until the end.
J0579,August Dates Aug. 5 Innovate Further Farms Aug. 6 Bobby's Idle Hour Showcase Aug. 7 Zanies Nashville.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,August Dates Aug. 5 Innovate Further Farms Aug. 6 Bobby's Idle Hour Showcase Aug. 7 Zanies Nashville.
J0580,BBC was invented by white people Black people don't say cock. That's like if i said my favorite kinda porn is AWD average white dick.,1,1,65,Mitch Hedberg,R / club material,medium,dating/sex | technology,personal,,BBC was invented by white people Black people don't say cock. That's like if i said my favorite kinda porn is AWD average white dick.
J0581,BDSM Big Dick Small Mouth Apparently thats not a common enough kink to have its own acronym. You gotta type out each word.,1,1,65,Demetri Martin,R / club material,short,work/money | technology,observational,,BDSM Big Dick Small Mouth Apparently thats not a common enough kink to have its own acronym. You gotta type out each word.
J0582,"Bad inspirational quotes ""Old ways can't open new doors"" I'm pretty sure the old way of opening a door still works.",1,1,65,Norm Macdonald,PG-ish,short,work/money,observational,,"Bad inspirational quotes ""Old ways can't open new doors"" I'm pretty sure the old way of opening a door still works."
J0583,Basically anywhere you'd pick up a mission in GTA V.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,Basically anywhere you'd pick up a mission in GTA V.
J0584,Bathrooms wallpaper. Bananas in the boys room and lips in the ladies. I see what you did there. Put in a gender neutral bathroom wallpaper of people sucking bananas.,1,1,65,Mitch Hedberg,PG-ish,medium,misc/observational,personal,,Bathrooms wallpaper. Bananas in the boys room and lips in the ladies. I see what you did there. Put in a gender neutral bathroom wallpaper of people sucking bananas.
J0585,Beach boys hipster Beatnick sees kid with a beach boys shirt tells them to name three bands.,1,1,65,John Mulaney,PG-ish,short,family | pop culture,personal,,Beach boys hipster Beatnick sees kid with a beach boys shirt tells them to name three bands.
J0586,Been 25 years since we were Oilers Baltimore still buying our old Derricks.,1,1,65,Norm Macdonald,PG-ish,short,misc/observational,observational,,Been 25 years since we were Oilers Baltimore still buying our old Derricks.
J0587,Been together 6 years finally talked her into it.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,Been together 6 years finally talked her into it.
J0588,Being a fool for people who don't know they've been fooled.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,Being a fool for people who don't know they've been fooled.
J0589,Believe all women Except my girlfriend She lies.,1,1,65,Nikki Glaser,PG-ish,short,dating/sex,relationship | personal,,Believe all women Except my girlfriend She lies.
J0590,Best way to get over someone is to get under someone else eventually.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,Best way to get over someone is to get under someone else eventually.
J0591,Bet the guy who invented the word Skrrrt is pissed he didn't trademark that skrt.,1,1,65,Demetri Martin,PG-ish,short,misc/observational,observational,,Bet the guy who invented the word Skrrrt is pissed he didn't trademark that skrt.
J0592,Bit about exploiting kids for capitalism Joe camel Candy nicotine Disney Nintendo.,1,1,65,John Mulaney,PG-ish,short,dating/sex | family,observational,,Bit about exploiting kids for capitalism Joe camel Candy nicotine Disney Nintendo.
J0593,Bit idea strip club keeps dancers on to work at the grocery store.,1,1,65,Dave Attell,PG-ish,short,work/money,observational,,Bit idea strip club keeps dancers on to work at the grocery store.
J0594,Black culture isn't afraid to like new things. White culture doesn't like new things unless it's cleared by black culture first.,1,1,65,Mitch Hedberg,PG-ish,short,technology,observational,,Black culture isn't afraid to like new things. White culture doesn't like new things unless it's cleared by black culture first.
J0595,Bleached my hair and still cry over girls who dumped me in high school.,1,1,65,John Mulaney,PG-ish,short,technology,personal,Lucky Duck 9/22/22,Bleached my hair and still cry over girls who dumped me in high school.
J0596,Blocked so much your number comes up as spam. I used to be pretty cute. Now I bleach my hair to dampen the contrast on my bald spot.,1,1,65,Mitch Hedberg,PG-ish,medium,drugs/sobriety | technology,personal,,Blocked so much your number comes up as spam. I used to be pretty cute. Now I bleach my hair to dampen the contrast on my bald spot.
J0597,Borrow a Cup of sugar without finding fentanyl in it.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,Borrow a Cup of sugar without finding fentanyl in it.
J0598,Borrow a cup of sugar from your neighbor there could be fentanyl in it.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,Borrow a cup of sugar from your neighbor there could be fentanyl in it.
J0599,Botoxed boomer babes Second wave feminist Looks like you still watch survivor Jolly bean's magic Castle sounds like what your grandma calls the clitoral hood.,1,1,65,Mitch Hedberg,PG-ish,medium,family,observational,,Botoxed boomer babes Second wave feminist Looks like you still watch survivor Jolly bean's magic Castle sounds like what your grandma calls the clitoral hood.
J0600,Brandon looks like a shop teacher who builds... Relationships with kids!,1,1,65,John Mulaney,PG-ish,short,family,observational,,Brandon looks like a shop teacher who builds... Relationships with kids!
J0601,Brandon scares the hoes and Eddie scares the hoagies.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,Brandon scares the hoes and Eddie scares the hoagies.
J0602,Brokey boi If emotional damage left physical scars I'd look like Deadpool without his mask.,1,1,65,Anthony Jeselnik,R / club material,short,true crime/dark,dark,,Brokey boi If emotional damage left physical scars I'd look like Deadpool without his mask.
J0603,Buddhist Monk orders a pizza What kind of pizza do you want Vegetarian please Buddhists don't eat meat.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,Buddhist Monk orders a pizza What kind of pizza do you want Vegetarian please Buddhists don't eat meat.
J0604,Burned out on chic fil a sauce Sad day. Lead into chic fil Leviticus.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,Burned out on chic fil a sauce Sad day. Lead into chic fil Leviticus.
J0605,Calling someone photogenic is basically telling them they look better in pictures than real life.,1,1,65,Nikki Glaser,PG-ish,short,misc/observational,observational,,Calling someone photogenic is basically telling them they look better in pictures than real life.
J0606,Can't get a second date Think it's cuz I fart a lot and I like girls who have big noses.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,personal,,Can't get a second date Think it's cuz I fart a lot and I like girls who have big noses.
J0607,Can't kill a baby unless it comes up onto yer porch uninvited.,1,1,65,Anthony Jeselnik,R / club material,short,true crime/dark,dark,Green light mic Feb 4,Can't kill a baby unless it comes up onto yer porch uninvited.
J0608,Canada Where we send all the goodwill clothes that don't get sold in the states.,1,1,65,Norm Macdonald,PG-ish,short,misc/observational,observational,,Canada Where we send all the goodwill clothes that don't get sold in the states.
J0609,Car is a POS Turned the windshield wipers on and the engine overheated.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,Car is a POS Turned the windshield wipers on and the engine overheated.
J0610,Casting Sex Nets Throwing out mass you up texts. Responding to everyone in your DMs. Like a tractor beam for booty.,1,1,65,Nikki Glaser,R / club material,short,dating/sex,relationship,,Casting Sex Nets Throwing out mass you up texts. Responding to everyone in your DMs. Like a tractor beam for booty.
J0611,Catch her in a pokeball so I can take her to couples counseling.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,personal,,Catch her in a pokeball so I can take her to couples counseling.
J0612,Chappel roan makes Matt call his ex girlfriend a bitch.,1,1,65,Nikki Glaser,PG-ish,short,dating/sex | technology,relationship,Open Mic review,Chappel roan makes Matt call his ex girlfriend a bitch.
J0613,Character that can change gender at will. Semi charmed Canadian rapper.,1,1,65,Mitch Hedberg,PG-ish,short,technology,personal,,Character that can change gender at will. Semi charmed Canadian rapper.
J0614,Chef no matter how hard you work all the effort you put in everything you make turns to shit.,1,1,65,Bill Burr,PG-13,short,work/money,observational,,Chef no matter how hard you work all the effort you put in everything you make turns to shit.
J0615,Chick fil gay A girl with a mustache god love her she's a rug muncher. or a dude who says my pleasure with a little too much eye contact.,1,1,65,Mitch Hedberg,PG-ish,medium,dating/sex | religion/spiritual,absurd | personal,,Chick fil gay A girl with a mustache god love her she's a rug muncher. or a dude who says my pleasure with a little too much eye contact.
J0616,Circus Bread Delicious snack that makes people love the government.,1,1,65,Bill Burr,PG-ish,short,dating/sex,observational,,Circus Bread Delicious snack that makes people love the government.
J0617,Clinton Rant 90s Clinton Sloppy Top Saw a soccer player get struck by lighting during a match.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,Clinton Rant 90s Clinton Sloppy Top Saw a soccer player get struck by lighting during a match.
J0618,Clopening The Geneva convention says depriving people of sleep is cruel and unusual torture. In American we call it clopening.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,Clopening The Geneva convention says depriving people of sleep is cruel and unusual torture. In American we call it clopening.
J0619,Co star followers Analyzes horoscopes and gives you warnings Ethan is gonna be kind of a dick today.,1,1,65,Mitch Hedberg,R / club material,short,misc/observational,observational,,Co star followers Analyzes horoscopes and gives you warnings Ethan is gonna be kind of a dick today.
J0620,Coffee shops need nice bathrooms. If I open a prune store and the bathroom looks like a rob zombie movie I'll go out of business.,1,1,65,Patton Oswalt,PG-ish,medium,pop culture,personal,,Coffee shops need nice bathrooms. If I open a prune store and the bathroom looks like a rob zombie movie I'll go out of business.
J0621,Come out yelling the jokes. Be loud and obnoxious. Put on an act. Be tooooooooo much.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,personal,,Come out yelling the jokes. Be loud and obnoxious. Put on an act. Be tooooooooo much.
J0622,Comic Character {Voice(s)} #ComedyWriting Recovered Addict Trauma Survivor Human lover/manipulator hater #BurningMan Lifelong learner Motivator Classic Cartoon Character Desensitized by the Internet Pre-prejudice.,1,1,65,Patton Oswalt,PG-13,medium,dating/sex | technology,observational,,Comic Character {Voice(s)} #ComedyWriting Recovered Addict Trauma Survivor Human lover/manipulator hater #BurningMan Lifelong learner Motivator Classic Cartoon Character Desensitized by the Internet Pre-prejudice.
J0623,Comic DJs Stand up comics are the EDM DJs of the Comedy world.,1,1,65,Patton Oswalt,PG-ish,short,misc/observational,observational,,Comic DJs Stand up comics are the EDM DJs of the Comedy world.
J0624,Corkscrew punching Merge the punchlines back into the premise until you get a really good punchline.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,Corkscrew punching Merge the punchlines back into the premise until you get a really good punchline.
J0625,Corp. Police Duty officers posted up at new businesses and repeat offenders trying to take advantage of consumers. Swat team raids Ticketmaster LiveNation concert.,1,1,65,Mitch Hedberg,PG-ish,short,technology,observational,,Corp. Police Duty officers posted up at new businesses and repeat offenders trying to take advantage of consumers. Swat team raids Ticketmaster LiveNation concert.
J0626,Country song about a couple that made it work. Country couples counselor.,1,1,65,Bill Burr,PG-ish,short,pop culture | work/money,observational,,Country song about a couple that made it work. Country couples counselor.
J0627,Crowdsourced violence One person throws 100 punches vs a hundred people throwing one punch each.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,Crowdsourced violence One person throws 100 punches vs a hundred people throwing one punch each.
J0628,Cuz I'm a king I don't love women who eat ass I love it when a woman who doesn't eat ass eats my ass. Cuz I'm a king.,1,1,65,Bill Burr,PG-13,medium,dating/sex,personal,,Cuz I'm a king I don't love women who eat ass I love it when a woman who doesn't eat ass eats my ass. Cuz I'm a king.
J0629,Cyber Truck Saw a cyber truck today and thought I was in a PlayStation 2.,1,1,65,Steven Wright,PG-ish,short,misc/observational,personal,,Cyber Truck Saw a cyber truck today and thought I was in a PlayStation 2.
J0630,DJ BJ A BJ where you slide the balls up into the belly like you're turning up the volume on a mixing board. (Two finger slide gesture).,1,1,65,Mitch Hedberg,PG-ish,medium,misc/observational,personal,,DJ BJ A BJ where you slide the balls up into the belly like you're turning up the volume on a mixing board. (Two finger slide gesture).
J0631,DOC was fairy dust which is Neverland slang for crack.,1,1,65,Mitch Hedberg,PG-ish,short,technology,observational,Nashville All Stars 8 min (CLEAN),DOC was fairy dust which is Neverland slang for crack.
J0632,"Dated a girl from Alaska. I asked her what's the nightlife like in Alaska. She said ""three months long.""",1,1,65,Norm Macdonald,PG-ish,short,technology,personal,,"Dated a girl from Alaska. I asked her what's the nightlife like in Alaska. She said ""three months long."""
J0633,Dating app profile You're so ugly you use a meme for your profile pic. Maybe they'll like my personality looking ass.,1,1,65,Nikki Glaser,PG-13,short,dating/sex | technology,relationship | personal,,Dating app profile You're so ugly you use a meme for your profile pic. Maybe they'll like my personality looking ass.
J0634,Dating app where you smell people Imagine scrolling through that.,1,1,65,Nikki Glaser,PG-ish,short,dating/sex | technology,relationship,,Dating app where you smell people Imagine scrolling through that.
J0635,Dayclub The night club for night shift Opens at 3 BYOB.,1,1,65,Dave Attell,PG-ish,short,misc/observational,observational,,Dayclub The night club for night shift Opens at 3 BYOB.
J0636,Deader than a Hooker in a secret service van.,1,1,65,Anthony Jeselnik,R / club material,short,true crime/dark,dark,,Deader than a Hooker in a secret service van.
J0637,Debt Prolapsed net worth Net worth prolapsed Net worth prolapse Prolapsed wallet ***Prolapsed bank account.,1,1,65,Mitch Hedberg,PG-ish,short,misc/observational,observational,,Debt Prolapsed net worth Net worth prolapsed Net worth prolapse Prolapsed wallet ***Prolapsed bank account.
J0638,Dick Aids In British decades sounds like dick aids. Vinereal auto immune deficiency syndrome dick aids #Jokes.,1,1,65,Mitch Hedberg,R / club material,short,technology,personal,,Dick Aids In British decades sounds like dick aids. Vinereal auto immune deficiency syndrome dick aids #Jokes.
J0639,Dickdoo Where your balls stick out farther than your dick do.,1,1,65,Mitch Hedberg,R / club material,short,misc/observational,observational,,Dickdoo Where your balls stick out farther than your dick do.
J0640,Diddy ruined white parties. I thought white parties were ruined by charades.,1,1,65,Steven Wright,PG-ish,short,misc/observational,personal,Open Mic review,Diddy ruined white parties. I thought white parties were ruined by charades.
J0641,Diet melanin Melanin zero / zero hot sauce Before emojis sexualized the eggplant.,1,1,65,Nikki Glaser,R / club material,short,dating/sex,relationship,,Diet melanin Melanin zero / zero hot sauce Before emojis sexualized the eggplant.
J0642,Disposable vapes with sim cards. You can make calls. Talk about a burner phone.,1,1,65,Mitch Hedberg,PG-ish,short,technology,observational,Good People set (15 min),Disposable vapes with sim cards. You can make calls. Talk about a burner phone.
J0643,Do you want a wife who talks a lot or a little There's a big difference between talking a yapping.,1,1,65,Nikki Glaser,PG-ish,short,dating/sex | family | technology,relationship,,Do you want a wife who talks a lot or a little There's a big difference between talking a yapping.
